"GEO_ID","NAME","B992512_001E","B992512_001EA","B992512_002E","B992512_002EA","B992512_003E","B992512_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Allocated","Annotation of Estimate!!Total:!!Allocated","Estimate!!Total:!!Not allocated","Annotation of Estimate!!Total:!!Not allocated",
"1500000US470650033004","Block Group 4, Census Tract 33, Hamilton County, Tennessee","356","null","0","null","356","null",
"1500000US470650033005","Block Group 5, Census Tract 33, Hamilton County, Tennessee","600","null","0","null","600","null",
"1500000US470650033006","Block Group 6, Census Tract 33, Hamilton County, Tennessee","513","null","1","null","512","null",
"1500000US470650034001","Block Group 1, Census Tract 34, Hamilton County, Tennessee","556","null","0","null","556","null",
"1500000US470650034002","Block Group 2, Census Tract 34, Hamilton County, Tennessee","793","null","0","null","793","null",
"1500000US470650034003","Block Group 3, Census Tract 34, Hamilton County, Tennessee","655","null","0","null","655","null",
"1500000US470650101011","Block Group 1, Census Tract 101.01, Hamilton County, Tennessee","1105","null","0","null","1105","null",
"1500000US470650101012","Block Group 2, Census Tract 101.01, Hamilton County, Tennessee","868","null","0","null","868","null",
"1500000US470650101013","Block Group 3, Census Tract 101.01, Hamilton County, Tennessee","446","null","0","null","446","null",
"1500000US470650101031","Block Group 1, Census Tract 101.03, Hamilton County, Tennessee","618","null","0","null","618","null",
"1500000US470650101032","Block Group 2, Census Tract 101.03, Hamilton County, Tennessee","404","null","0","null","404","null",
"1500000US470650101033","Block Group 3, Census Tract 101.03, Hamilton County, Tennessee","486","null","0","null","486","null",
"1500000US470650101041","Block Group 1, Census Tract 101.04, Hamilton County, Tennessee","399","null","0","null","399","null",
"1500000US470650101042","Block Group 2, Census Tract 101.04, Hamilton County, Tennessee","422","null","0","null","422","null",
"1500000US470650101043","Block Group 3, Census Tract 101.04, Hamilton County, Tennessee","377","null","0","null","377","null",
"1500000US470650101044","Block Group 4, Census Tract 101.04, Hamilton County, Tennessee","252","null","0","null","252","null",
"1500000US470650102011","Block Group 1, Census Tract 102.01, Hamilton County, Tennessee","419","null","0","null","419","null",
"1500000US470650102012","Block Group 2, Census Tract 102.01, Hamilton County, Tennessee","456","null","0","null","456","null",
"1500000US470650102013","Block Group 3, Census Tract 102.01, Hamilton County, Tennessee","728","null","6","null","722","null",
"1500000US470650102021","Block Group 1, Census Tract 102.02, Hamilton County, Tennessee","313","null","17","null","296","null",
"1500000US470650102022","Block Group 2, Census Tract 102.02, Hamilton County, Tennessee","466","null","6","null","460","null",
"1500000US470650102023","Block Group 3, Census Tract 102.02, Hamilton County, Tennessee","428","null","0","null","428","null",
"1500000US470650102024","Block Group 4, Census Tract 102.02, Hamilton County, Tennessee","457","null","0","null","457","null",
"1500000US470650103031","Block Group 1, Census Tract 103.03, Hamilton County, Tennessee","520","null","0","null","520","null",
"1500000US470650103032","Block Group 2, Census Tract 103.03, Hamilton County, Tennessee","653","null","0","null","653","null",
"1500000US470650103041","Block Group 1, Census Tract 103.04, Hamilton County, Tennessee","693","null","4","null","689","null",
"1500000US470650103042","Block Group 2, Census Tract 103.04, Hamilton County, Tennessee","368","null","0","null","368","null",
"1500000US470650103043","Block Group 3, Census Tract 103.04, Hamilton County, Tennessee","564","null","0","null","564","null",
"1500000US470650103044","Block Group 4, Census Tract 103.04, Hamilton County, Tennessee","0","null","0","null","0","null",
"1500000US470650103045","Block Group 5, Census Tract 103.04, Hamilton County, Tennessee","362","null","0","null","362","null",
"1500000US470650103051","Block Group 1, Census Tract 103.05, Hamilton County, Tennessee","414","null","4","null","410","null",
"1500000US470650103052","Block Group 2, Census Tract 103.05, Hamilton County, Tennessee","816","null","0","null","816","null",
"1500000US470650103061","Block Group 1, Census Tract 103.06, Hamilton County, Tennessee","662","null","8","null","654","null",
"1500000US470650103062","Block Group 2, Census Tract 103.06, Hamilton County, Tennessee","344","null","45","null","299","null",
"1500000US470650103063","Block Group 3, Census Tract 103.06, Hamilton County, Tennessee","606","null","0","null","606","null",
"1500000US470650103081","Block Group 1, Census Tract 103.08, Hamilton County, Tennessee","557","null","0","null","557","null",
"1500000US470650103082","Block Group 2, Census Tract 103.08, Hamilton County, Tennessee","576","null","15","null","561","null",
"1500000US470650103091","Block Group 1, Census Tract 103.09, Hamilton County, Tennessee","594","null","0","null","594","null",
"1500000US470650103092","Block Group 2, Census Tract 103.09, Hamilton County, Tennessee","776","null","0","null","776","null",
"1500000US470650104111","Block Group 1, Census Tract 104.11, Hamilton County, Tennessee","376","null","0","null","376","null",
"1500000US470650104112","Block Group 2, Census Tract 104.11, Hamilton County, Tennessee","620","null","0","null","620","null",
"1500000US470650104113","Block Group 3, Census Tract 104.11, Hamilton County, Tennessee","985","null","22","null","963","null",
"1500000US470650104114","Block Group 4, Census Tract 104.11, Hamilton County, Tennessee","509","null","12","null","497","null",
"1500000US470650104115","Block Group 5, Census Tract 104.11, Hamilton County, Tennessee","329","null","0","null","329","null",
"1500000US470650104121","Block Group 1, Census Tract 104.12, Hamilton County, Tennessee","596","null","0","null","596","null",
"1500000US470650104122","Block Group 2, Census Tract 104.12, Hamilton County, Tennessee","243","null","0","null","243","null",
"1500000US470650104123","Block Group 3, Census Tract 104.12, Hamilton County, Tennessee","580","null","0","null","580","null",
"1500000US470650104124","Block Group 4, Census Tract 104.12, Hamilton County, Tennessee","395","null","0","null","395","null",
"1500000US470650104131","Block Group 1, Census Tract 104.13, Hamilton County, Tennessee","1046","null","86","null","960","null",
"1500000US470650104132","Block Group 2, Census Tract 104.13, Hamilton County, Tennessee","420","null","8","null","412","null",
"1500000US470650104311","Block Group 1, Census Tract 104.31, Hamilton County, Tennessee","613","null","0","null","613","null",
"1500000US470650104312","Block Group 2, Census Tract 104.31, Hamilton County, Tennessee","995","null","0","null","995","null",
"1500000US470650104313","Block Group 3, Census Tract 104.31, Hamilton County, Tennessee","542","null","19","null","523","null",
"1500000US470650104314","Block Group 4, Census Tract 104.31, Hamilton County, Tennessee","252","null","16","null","236","null",
"1500000US470650104315","Block Group 5, Census Tract 104.31, Hamilton County, Tennessee","508","null","0","null","508","null",
"1500000US470650104321","Block Group 1, Census Tract 104.32, Hamilton County, Tennessee","133","null","0","null","133","null",
"1500000US470650104322","Block Group 2, Census Tract 104.32, Hamilton County, Tennessee","782","null","0","null","782","null",
"1500000US470650104323","Block Group 3, Census Tract 104.32, Hamilton County, Tennessee","349","null","0","null","349","null",
"1500000US470650104324","Block Group 4, Census Tract 104.32, Hamilton County, Tennessee","545","null","0","null","545","null",
"1500000US470650104325","Block Group 5, Census Tract 104.32, Hamilton County, Tennessee","562","null","0","null","562","null",
"1500000US470650104326","Block Group 6, Census Tract 104.32, Hamilton County, Tennessee","648","null","10","null","638","null",
"1500000US470650104331","Block Group 1, Census Tract 104.33, Hamilton County, Tennessee","894","null","72","null","822","null",
"1500000US470650104332","Block Group 2, Census Tract 104.33, Hamilton County, Tennessee","519","null","0","null","519","null",
"1500000US470650104333","Block Group 3, Census Tract 104.33, Hamilton County, Tennessee","548","null","0","null","548","null",
"1500000US470650104334","Block Group 4, Census Tract 104.33, Hamilton County, Tennessee","328","null","0","null","328","null",
"1500000US470650104341","Block Group 1, Census Tract 104.34, Hamilton County, Tennessee","860","null","0","null","860","null",
"1500000US470650104351","Block Group 1, Census Tract 104.35, Hamilton County, Tennessee","399","null","0","null","399","null",
"1500000US470650104352","Block Group 2, Census Tract 104.35, Hamilton County, Tennessee","1110","null","21","null","1089","null",
"1500000US470650104353","Block Group 3, Census Tract 104.35, Hamilton County, Tennessee","369","null","0","null","369","null",
"1500000US470650104354","Block Group 4, Census Tract 104.35, Hamilton County, Tennessee","315","null","14","null","301","null",
"1500000US470650105011","Block Group 1, Census Tract 105.01, Hamilton County, Tennessee","234","null","0","null","234","null",
"1500000US470650105012","Block Group 2, Census Tract 105.01, Hamilton County, Tennessee","480","null","0","null","480","null",
"1500000US470650105013","Block Group 3, Census Tract 105.01, Hamilton County, Tennessee","458","null","0","null","458","null",
"1500000US470650105014","Block Group 4, Census Tract 105.01, Hamilton County, Tennessee","434","null","17","null","417","null",
"1500000US470650105015","Block Group 5, Census Tract 105.01, Hamilton County, Tennessee","513","null","19","null","494","null",
"1500000US470650105016","Block Group 6, Census Tract 105.01, Hamilton County, Tennessee","548","null","0","null","548","null",
"1500000US470650105021","Block Group 1, Census Tract 105.02, Hamilton County, Tennessee","709","null","0","null","709","null",
"1500000US470650105022","Block Group 2, Census Tract 105.02, Hamilton County, Tennessee","400","null","0","null","400","null",
"1500000US470650105023","Block Group 3, Census Tract 105.02, Hamilton County, Tennessee","362","null","9","null","353","null",
"1500000US470650106001","Block Group 1, Census Tract 106, Hamilton County, Tennessee","347","null","0","null","347","null",
"1500000US470650106002","Block Group 2, Census Tract 106, Hamilton County, Tennessee","618","null","0","null","618","null",
"1500000US470650106003","Block Group 3, Census Tract 106, Hamilton County, Tennessee","579","null","0","null","579","null",
"1500000US470650107001","Block Group 1, Census Tract 107, Hamilton County, Tennessee","249","null","0","null","249","null",
"1500000US470650107002","Block Group 2, Census Tract 107, Hamilton County, Tennessee","640","null","0","null","640","null",
"1500000US470650107003","Block Group 3, Census Tract 107, Hamilton County, Tennessee","642","null","0","null","642","null",
"1500000US470650108001","Block Group 1, Census Tract 108, Hamilton County, Tennessee","555","null","17","null","538","null",
"1500000US470650108002","Block Group 2, Census Tract 108, Hamilton County, Tennessee","618","null","35","null","583","null",
"1500000US470650108003","Block Group 3, Census Tract 108, Hamilton County, Tennessee","430","null","8","null","422","null",
"1500000US470650108004","Block Group 4, Census Tract 108, Hamilton County, Tennessee","402","null","6","null","396","null",
"1500000US470650109011","Block Group 1, Census Tract 109.01, Hamilton County, Tennessee","920","null","0","null","920","null",
"1500000US470650109012","Block Group 2, Census Tract 109.01, Hamilton County, Tennessee","241","null","0","null","241","null",
"1500000US470650109021","Block Group 1, Census Tract 109.02, Hamilton County, Tennessee","388","null","0","null","388","null",
"1500000US470650109041","Block Group 1, Census Tract 109.04, Hamilton County, Tennessee","653","null","20","null","633","null",
"1500000US470650109042","Block Group 2, Census Tract 109.04, Hamilton County, Tennessee","635","null","0","null","635","null",
"1500000US470650109051","Block Group 1, Census Tract 109.05, Hamilton County, Tennessee","667","null","17","null","650","null",
"1500000US470650109052","Block Group 2, Census Tract 109.05, Hamilton County, Tennessee","408","null","0","null","408","null",
"1500000US470650109053","Block Group 3, Census Tract 109.05, Hamilton County, Tennessee","874","null","13","null","861","null",
"1500000US470650110011","Block Group 1, Census Tract 110.01, Hamilton County, Tennessee","765","null","26","null","739","null",
"1500000US470650110031","Block Group 1, Census Tract 110.03, Hamilton County, Tennessee","771","null","23","null","748","null",
"1500000US470650110032","Block Group 2, Census Tract 110.03, Hamilton County, Tennessee","501","null","0","null","501","null",
"1500000US470650110041","Block Group 1, Census Tract 110.04, Hamilton County, Tennessee","296","null","0","null","296","null",
"1500000US470650110042","Block Group 2, Census Tract 110.04, Hamilton County, Tennessee","662","null","0","null","662","null",
"1500000US470650110043","Block Group 3, Census Tract 110.04, Hamilton County, Tennessee","427","null","16","null","411","null",
"1500000US470650111001","Block Group 1, Census Tract 111, Hamilton County, Tennessee","790","null","0","null","790","null",
"1500000US470650111002","Block Group 2, Census Tract 111, Hamilton County, Tennessee","873","null","0","null","873","null",
"1500000US470650111003","Block Group 3, Census Tract 111, Hamilton County, Tennessee","732","null","0","null","732","null",
"1500000US470650112031","Block Group 1, Census Tract 112.03, Hamilton County, Tennessee","515","null","0","null","515","null",
"1500000US470650112032","Block Group 2, Census Tract 112.03, Hamilton County, Tennessee","572","null","9","null","563","null",
"1500000US470650112033","Block Group 3, Census Tract 112.03, Hamilton County, Tennessee","827","null","24","null","803","null",
"1500000US470650112041","Block Group 1, Census Tract 112.04, Hamilton County, Tennessee","763","null","17","null","746","null",
"1500000US470650112042","Block Group 2, Census Tract 112.04, Hamilton County, Tennessee","404","null","0","null","404","null",
